time_s,step,fluid_force_x_n,fluid_force_y_n,fluid_force_magnitude_n
0.0,0,0.0,0.0,0.0
0.0025,5,0.0,0.4082481563091278,0.4082481563091278
0.005,10,0.0,0.40824753046035767,0.40824753046035767
0.0075,15,0.0,0.40824759006500244,0.40824759006500244
0.01,20,0.0,0.4082478880882263,0.4082478880882263
0.0125,25,0.0,0.4082489311695099,0.4082489311695099
0.015,30,0.0,0.40825027227401733,0.40825027227401733
0.0175,35,0.0,0.40825051069259644,0.40825051069259644
0.02,40,0.0,0.408253014087677,0.408253014087677
0.0225,45,0.0,0.40842026472091675,0.40842026472091675
0.025,50,0.0,0.41124552488327026,0.41124552488327026
