row_name,check,actual,expected,pass
,step,Step79,Step79,True
,previous_step,Step78,Step78,True
,previous_required_commit,d226b1fc679f7d5592629a359c56f0b83372a393,d226b1fc679f7d5592629a359c56f0b83372a393,True
,activation_kind,single_feature_plan_only,single_feature_plan_only,True
,feature_under_plan,runtime_geometry,runtime_geometry,True
,runtime_geometry_activation_planned,True,True,True
,runtime_geometry_application_mode_planned_for_step80,diagnostic_only,diagnostic_only,True
,driver_run_required,False,False,True
,fsidriver_run_allowed,False,False,True
,simulation_run_allowed,False,False,True
canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke,step80_allowed,True,True,True
canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke,step80_allowed_row_name,canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke,canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke,True
canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke,step80_allowed_n_grid,32,32,True
canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke,step80_allowed_n_particles,1024,1024,True
canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke,step80_allowed_n_lbm_steps,3,3,True
canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke,step80_allowed_mpm_substeps_per_lbm_step,1,1,True
canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke,step80_allowed_coupling_mode,moving_boundary,moving_boundary,True
canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke,step80_allowed_reaction_transfer_mode,engineering,engineering,True
canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke,step80_allowed_geometry_type,box,box,True
,geometry_motion_mode_allowed_for_step80,prescribed_kinematic,prescribed_kinematic,True
,geometry_motion_application_mode_allowed_for_step80,diagnostic_only,diagnostic_only,True
,geometry_motion_report_required_for_step80,True,True,True
,geometry_motion_interface_report_required_for_step80,True,True,True
,geometry_mutation_allowed,False,False,True
,runtime_code_changed,False,False,True
,solver_behavior_changed,False,False,True
,solver_formula_change_allowed,False,False,True
,tau_migration_allowed,False,False,True
,wall_velocity_allowed,False,False,True
,combined_runtime_geometry_wall_velocity_allowed,False,False,True
,real_geometry_allowed,False,False,True
,squid_proxy_allowed,False,False,True
,link_area_allowed,False,False,True
,grid_48_allowed,False,False,True
,grid_64_allowed,False,False,True
,vtr_output_allowed,False,False,True
,particle_npy_output_allowed,False,False,True
,physical_validation_claim_allowed,False,False,True
,production_readiness_claim_allowed,False,False,True
,real_squid_validation_claim_allowed,False,False,True
